iri,category,term_type,local,score,reasons
https://w3id.org/h2kg/hydrogen-ontology#Agent,class,class,True,1.0,['explicit rdf:type class']
https://w3id.org/h2kg/hydrogen-ontology#Data,class,class,True,1.0,['explicit rdf:type class']
https://w3id.org/h2kg/hydrogen-ontology#DataPoint,class,class,True,1.0,['explicit rdf:type class']
https://w3id.org/h2kg/hydrogen-ontology#Instrument,class,class,True,1.0,['explicit rdf:type class']
https://w3id.org/h2kg/hydrogen-ontology#Manufacturing,class,class,True,1.0,['explicit rdf:type class']
https://w3id.org/h2kg/hydrogen-ontology#Matter,class,class,True,1.0,['explicit rdf:type class']
https://w3id.org/h2kg/hydrogen-ontology#Measurement,class,class,True,1.0,['explicit rdf:type class']
https://w3id.org/h2kg/hydrogen-ontology#Metadata,class,class,True,1.0,['explicit rdf:type class']
https://w3id.org/h2kg/hydrogen-ontology#NormalizationBasis,class,class,True,1.0,['explicit rdf:type class']
https://w3id.org/h2kg/hydrogen-ontology#Parameter,class,class,True,1.0,['explicit rdf:type class']
https://w3id.org/h2kg/hydrogen-ontology#Process,class,class,True,1.0,['explicit rdf:type class']
https://w3id.org/h2kg/hydrogen-ontology#Property,class,class,True,1.0,['explicit rdf:type class']
https://w3id.org/h2kg/hydrogen-ontology#ReferenceElectrode,class,class,True,1.0,['explicit rdf:type class']
https://w3id.org/h2kg/hydrogen-ontology#Unit,class,class,True,1.0,['explicit rdf:type class']
https://w3id.org/h2kg/hydrogen-ontology#AAOTemplateRemoval,controlled_vocabulary_term,controlled_vocabulary_term,True,0.82,['typed by anchor class or concise labeled individual']
https://w3id.org/h2kg/hydrogen-ontology#ACAmplitude,controlled_vocabulary_term,controlled_vocabulary_term,True,0.82,['typed by anchor class or concise labeled individual']
https://w3id.org/h2kg/hydrogen-ontology#AcidLeachingProcess,controlled_vocabulary_term,controlled_vocabulary_term,True,0.82,['typed by anchor class or concise labeled individual']
https://w3id.org/h2kg/hydrogen-ontology#ActivityStabilityFactor,controlled_vocabulary_term,controlled_vocabulary_term,True,0.82,['typed by anchor class or concise labeled individual']
https://w3id.org/h2kg/hydrogen-ontology#AdditiveManufacturing3DPrinting,controlled_vocabulary_term,controlled_vocabulary_term,True,0.82,['typed by anchor class or concise labeled individual']
https://w3id.org/h2kg/hydrogen-ontology#AdsorptionSpecificCapacitance_IrOx,controlled_vocabulary_term,controlled_vocabulary_term,True,0.82,['typed by anchor class or concise labeled individual']
https://w3id.org/h2kg/hydrogen-ontology#AgAgCl,controlled_vocabulary_term,controlled_vocabulary_term,True,0.82,['typed by anchor class or concise labeled individual']
